date,open,high,low,close,volume,bid_open,bid_high,bid_low,bid_close,ask_open,ask_high,ask_low,ask_close,spread,spread_pct
2025-03-14 12:00:00+00:00,162.068,162.33,161.906,161.958,14370,162.058,162.32,161.895,161.948,162.077,162.34,161.917,161.969,0.020999999999986585,0.012966324602666486
2025-03-14 13:00:00+00:00,161.958,161.989,161.62,161.696,17537,161.949,161.979,161.609,161.674,161.967,161.999,161.629,161.718,0.04399999999998272,0.027211557490588956
2025-03-14 14:00:00+00:00,161.694,162.038,161.344,161.498,25742,161.65,162.026,161.336,161.491,161.738,162.05,161.352,161.506,0.014999999999986358,0.009288040718762063
2025-03-14 15:00:00+00:00,161.498,161.628,161.282,161.464,20247,161.489,161.616,161.27,161.453,161.508,161.639,161.293,161.474,0.020999999999986585,0.013005995144420171
2025-03-14 16:00:00+00:00,161.463,161.538,161.283,161.461,16184,161.452,161.529,161.272,161.451,161.474,161.548,161.294,161.471,0.020000000000010232,0.012386892190690155
2025-03-14 17:00:00+00:00,161.46,161.618,161.364,161.538,13355,161.45,161.608,161.354,161.528,161.469,161.629,161.373,161.549,0.021000000000015007,0.013000037142972553
2025-03-14 18:00:00+00:00,161.539,161.638,161.498,161.612,11356,161.529,161.629,161.486,161.605,161.549,161.649,161.509,161.62,0.01500000000001478,0.009281488998350853
2025-03-14 19:00:00+00:00,161.608,161.804,161.574,161.774,8880,161.601,161.796,161.563,161.765,161.616,161.812,161.585,161.784,0.019000000000005457,0.011744779754475661
2025-03-14 20:00:00+00:00,161.768,161.793,161.691,161.716,6145,161.759,161.78,161.645,161.673,161.776,161.806,161.707,161.76,0.08699999999998909,0.053798016275439085
2025-03-16 21:00:00+00:00,161.825,161.954,161.817,161.874,532,161.75,161.901,161.75,161.803,161.9,162.027,161.852,161.946,0.14300000000000068,0.0883403140714387
2025-03-16 22:00:00+00:00,161.876,161.876,161.666,161.673,4258,161.806,161.842,161.652,161.66,161.946,161.946,161.679,161.686,0.02600000000001046,0.01608184421641861
2025-03-16 23:00:00+00:00,161.678,161.818,161.577,161.678,5840,161.668,161.805,161.563,161.669,161.688,161.832,161.59,161.687,0.018000000000000682,0.011133240143990327
2025-03-17 00:00:00+00:00,161.685,161.952,161.544,161.886,8260,161.674,161.941,161.535,161.873,161.696,161.962,161.552,161.898,0.025000000000005684,0.0154429660378326
2025-03-17 01:00:00+00:00,161.885,161.948,161.7,161.74,9318,161.873,161.937,161.688,161.729,161.897,161.959,161.71,161.752,0.022999999999996135,0.014220353654010223
2025-03-17 02:00:00+00:00,161.74,161.808,161.64,161.751,7701,161.728,161.796,161.628,161.74,161.752,161.821,161.652,161.762,0.02199999999999136,0.013601152388542488
