pair,entry_date,exit_date,direction,entry_price,exit_price,size,profit_pct,profit_dollars,periods_held,exit_reason,confidence,capital_after
AUDUSD,2025-08-22 14:15:00+00:00,2025-08-22 14:15:00+00:00,long,0.6478347769999999,0.6478347769999999,308.78016396226707,0.0,0.0,2,trailing_stop,0.7435511350631714,500.0
NZDUSD,2025-08-22 14:15:00+00:00,2025-08-22 14:15:00+00:00,long,0.585868581,0.585868581,341.4717432132491,0.0,0.0,2,trailing_stop,0.7532311081886292,500.0
NZDUSD,2025-08-22 14:45:00+00:00,2025-08-22 15:15:00+00:00,long,0.586778672,0.586778672,340.9129649200559,0.0,0.0,4,trailing_stop,0.7404946088790894,500.0
GBPUSD,2025-08-22 15:00:00+00:00,2025-08-22 15:45:00+00:00,long,1.352705257,1.35390131425,147.8764935525849,0.0008841964972122888,0.17686875221815462,5,trailing_stop,0.8574485778808594,500.1768687522181
EURUSD,2025-08-22 15:00:00+00:00,2025-08-22 17:45:00+00:00,long,1.172027191,1.17364179775,170.67467699817377,0.0013776188491176609,0.2755724855353254,13,trailing_stop,0.7580415606498718,500.4524412377535
GBPUSD,2025-08-25 18:00:00+00:00,2025-08-25 19:45:00+00:00,short,1.347725214,1.3454713034999999,148.50881826720877,0.0018034288042933903,0.36095461400509193,9,trailing_stop,0.7035079598426819,500.81339585175857
GBPUSD,2025-08-25 17:15:00+00:00,2025-08-25 20:00:00+00:00,short,1.3482951570000001,1.34561378925,148.44714608461356,0.0019932258613015977,0.39894528856359235,13,trailing_stop,0.7462247610092163,501.21234114032217
GBPUSD,2025-08-25 18:45:00+00:00,2025-08-25 20:00:00+00:00,short,1.3461053760000001,1.345328844,148.6830984989909,0.0005768731139813552,0.11545718384364263,7,trailing_stop,0.9007173180580139,501.3277983241658
AUDUSD,2025-08-26 15:00:00+00:00,2025-08-27 02:00:00+00:00,long,0.649544948,0.650193737,308.78494553550297,0.0009988361883157839,0.20033627602906245,46,trailing_stop,0.7146684527397156,501.5281346001949
GBPUSD,2025-08-27 04:45:00+00:00,2025-08-27 08:45:00+00:00,short,1.344595527,1.344595527,149.17331229464017,0.0,0.0,18,trailing_stop,0.8654152154922485,501.5281346001949
GBPUSD,2025-08-27 07:30:00+00:00,2025-08-27 08:45:00+00:00,short,1.344655521,1.344655521,149.16554799283062,0.0,0.0,7,trailing_stop,0.7169950008392334,501.5281346001949
GBPUSD,2025-08-27 08:15:00+00:00,2025-08-27 11:00:00+00:00,short,1.343605626,1.343605626,149.28209745213567,0.0,0.0,13,trailing_stop,0.8432460427284241,501.5281346001949
AUDUSD,2025-08-25 06:15:00+00:00,2025-08-27 17:30:00+00:00,long,0.650325026,0.6509587565,307.8760019918508,0.0009744827196609229,0.19511041268030901,239,trailing_stop,0.8647289276123047,501.7232450128752
AUDUSD,2025-08-26 15:15:00+00:00,2025-08-27 17:30:00+00:00,long,0.649904984,0.650853746,308.6281174754387,0.0016759083466269102,0.3361519393952082,107,trailing_stop,0.8105193972587585,502.05939695227045
AUDUSD,2025-08-27 17:00:00+00:00,2025-08-28 02:30:00+00:00,long,0.6510350970000001,0.6515562742500001,308.20595151340905,0.0008005363342185596,0.16062993024339323,40,trailing_stop,0.7478984594345093,502.2200268825138
AUDUSD,2025-08-27 18:00:00+00:00,2025-08-28 03:30:00+00:00,long,0.6513051240000001,0.6519312810000001,308.380821812764,0.000961388106628831,0.19309481024381983,40,trailing_stop,0.776037871837616,502.4131216927576
AUDUSD,2025-08-28 00:00:00+00:00,2025-08-28 03:30:00+00:00,long,0.651395133,0.65195378325,308.3571464690653,0.0008576211606420071,0.17226379696423444,16,trailing_stop,0.7971346378326416,502.58538548972183
NZDUSD,2025-08-26 16:00:00+00:00,2025-08-28 10:45:00+00:00,long,0.5865286470000001,0.58716716175,341.9815125510187,0.0010886335275623552,0.21836023999113058,173,trailing_stop,0.8411605358123779,502.80374572971294
