pair,entry_date,exit_date,direction,entry_price,exit_price,size,profit_pct,profit_dollars,periods_held,exit_reason,confidence,capital_after
GBPUSD,2025-11-19 01:55:00+00:00,2025-11-19 09:55:00+00:00,short,1.3132,1.3124069999999999,76.14406457016676,0.0006038684130368899,0.06038224320414558,96,trailing_stop,0.753406286239624,500.0603822432042
GBPUSD,2025-11-19 02:00:00+00:00,2025-11-19 10:15:00+00:00,short,1.31284,1.311774,76.16494280012796,0.0008119801346698846,0.08119182902493727,99,trailing_stop,0.8498227596282959,500.1415740722291
GBPUSD,2025-11-19 08:55:00+00:00,2025-11-19 11:00:00+00:00,short,1.31234,1.3109359999999999,76.19453989927082,0.0014419068229270691,0.1441807944042814,25,trailing_stop,0.7259728908538818,500.2857548666334
GBPUSD,2025-11-19 09:45:00+00:00,2025-11-19 11:00:00+00:00,short,1.31182,1.3102145,76.22474102644236,0.0012238721775852835,0.12237882171794762,15,trailing_stop,0.7405011057853699,500.40813368835137
GBPUSD,2025-11-19 10:00:00+00:00,2025-11-19 11:00:00+00:00,short,1.3117,1.3101725,76.24033880823359,0.0011645193260655072,0.11645711752958642,12,trailing_stop,0.7549659609794617,500.52459080588096
GBPUSD,2025-11-19 10:05:00+00:00,2025-11-19 11:05:00+00:00,short,1.31108,1.3106575,76.27638954883452,0.00032225340940292914,0.032226774584381994,12,trailing_stop,0.79102623462677,500.55681758046535
USDJPY,2025-11-19 10:00:00+00:00,2025-11-19 11:10:00+00:00,long,155.984,156.1816,0.6412017005734268,0.001266796594522478,0.12670145603330546,14,trailing_stop,0.7610324025154114,500.68351903649864
USDJPY,2025-11-19 10:15:00+00:00,2025-11-19 11:10:00+00:00,long,155.996,156.1858,0.641256473667499,0.0012166978640477388,0.1217104787020856,11,trailing_stop,0.6857883334159851,500.8052295152007
USDJPY,2025-11-19 10:25:00+00:00,2025-11-19 11:10:00+00:00,long,156.006,156.1893,0.6412194773902435,0.0011749548094304237,0.11753553020563336,9,trailing_stop,0.8406098484992981,500.9227650454064
USDJPY,2025-11-19 10:35:00+00:00,2025-11-19 11:10:00+00:00,long,156.118,156.2207,0.6407553315895574,0.0006578357396328334,0.06580557255424671,7,trailing_stop,0.9062859416007996,500.98857061796065
USDJPY,2025-11-19 09:45:00+00:00,2025-11-19 11:15:00+00:00,long,155.949,156.16155,0.6412722842118763,0.0016177673470172678,0.16178607156598426,18,trailing_stop,0.8482643961906433,501.15035668952663
USDJPY,2025-11-19 09:55:00+00:00,2025-11-19 11:15:00+00:00,long,155.965,156.16715000000002,0.6412839291123191,0.0015776744782483917,0.15779560616524216,16,trailing_stop,0.7851384878158569,501.30815229569185
USDJPY,2025-11-19 09:40:00+00:00,2025-11-19 11:30:00+00:00,long,155.866,156.14030000000002,0.6416096703409514,0.0018559069970359573,0.18560022584660818,22,trailing_stop,0.69159334897995,501.49375252153845
USDJPY,2025-11-19 10:50:00+00:00,2025-11-19 14:15:00+00:00,long,156.226,156.3235,0.6403123507818935,0.0006240958611242469,0.06243045420123243,41,trailing_stop,0.6700111627578735,501.55618297573966
USDJPY,2025-11-19 10:55:00+00:00,2025-11-19 14:30:00+00:00,long,156.252,156.3391,0.6402017012668938,0.0005574328648592812,0.055761568180341586,43,trailing_stop,0.6675804853439331,501.61194454392
EURUSD,2025-11-19 14:05:00+00:00,2025-11-19 15:10:00+00:00,short,1.15643,1.1554095,86.72536381380853,0.0008824572174710883,0.08850323377199948,13,trailing_stop,0.819353461265564,501.700447777692
EURUSD,2025-11-19 14:10:00+00:00,2025-11-19 15:10:00+00:00,short,1.15633,1.1553745,86.73211333625127,0.0008263212058842276,0.08287253429279755,12,trailing_stop,0.7263278961181641,501.78332031198477
USDJPY,2025-11-19 14:35:00+00:00,2025-11-19 15:10:00+00:00,long,156.45,156.6216,0.6412752899399393,0.001096836049856262,0.1100428397537014,7,trailing_stop,0.8037302494049072,501.89336315173847
EURUSD,2025-11-19 09:40:00+00:00,2025-11-19 15:15:00+00:00,short,1.15692,1.155516,86.4304235090752,0.0012135670573591613,0.1213483146067382,67,trailing_stop,0.6725926399230957,502.0147114663452
USDJPY,2025-11-19 14:00:00+00:00,2025-11-19 15:15:00+00:00,long,156.347,156.58555,0.6415424747621062,0.0017154636801473783,0.17206656745400647,15,trailing_stop,0.6804560422897339,502.1867780337992
USDJPY,2025-11-19 14:15:00+00:00,2025-11-19 15:15:00+00:00,long,156.399,156.58814999999998,0.6414090017081944,0.0015256440258568805,0.15304608877038464,12,trailing_stop,0.7726603150367737,502.3398241225696
EURUSD,2025-11-19 14:55:00+00:00,2025-11-19 15:50:00+00:00,short,1.15547,1.1545925000000001,86.8178693338964,0.000759431227119583,0.07618268034048234,11,trailing_stop,0.7920361757278442,502.4160068029101
GBPUSD,2025-11-19 15:30:00+00:00,2025-11-19 15:55:00+00:00,short,1.30923,1.3079299999999998,76.73293375531873,0.0009929500546123134,0.09975281388192041,5,trailing_stop,0.8100643754005432,502.515759616792
GBPUSD,2025-11-19 10:45:00+00:00,2025-11-19 16:00:00+00:00,short,1.31041,1.308343,76.32894170458823,0.001746421349043448,0.1746809203013198,63,trailing_stop,0.8093482255935669,502.69044053709337
AUDUSD,2025-11-19 15:40:00+00:00,2025-11-19 16:05:00+00:00,short,0.64705,0.6466665,155.25399435114647,0.0005926899003167932,0.059539906833661733,5,trailing_stop,0.883693516254425,502.74998044392703
AUDUSD,2025-11-19 15:45:00+00:00,2025-11-19 16:15:00+00:00,short,0.64696,0.6463815,155.2779895899878,0.0008941820205266575,0.0898283169777965,6,trailing_stop,0.6690597534179688,502.8398087609048
EURUSD,2025-11-19 15:05:00+00:00,2025-11-19 16:40:00+00:00,short,1.15478,1.1539935,86.86974084199296,0.0006810821108782827,0.06832305117222949,19,trailing_stop,0.7379641532897949,502.90813181207704
